case_id,symptom,concept,severity,rule_checker_results,ai_diagnosis
1,PC cannot reach another device in the same VLAN,VLAN,High,"[{""check"": ""duplicate_ip"", ""passed"": true, ""message"": ""No explicit duplicate IP conflict detected."", ""evidence"": []}, {""check"": ""interface_status"", ""passed"": true, ""message"": ""No explicit interface-down condition detected."", ""evidence"": []}, {""check"": ""vlan"", ""passed"": false, ""message"": ""Port Fa0/1 is assigned to VLAN 20, but VLAN 10 is required."", ""evidence"": [""Connected port: Fa0/1"", ""Actual VLAN: 20"", ""Required VLAN: 10""]}, {""check"": ""trunk_vlan"", ""passed"": true, ""message"": ""No explicit trunk VLAN mismatch could be extracted."", ""evidence"": []}, {""check"": ""gateway"", ""passed"": true, ""message"": ""No structured IP/gateway information was found to check."", ""evidence"": []}, {""check"": ""dhcp"", ""passed"": true, ""message"": ""No obvious DHCP failure detected."", ""evidence"": []}, {""check"": ""dns"", ""passed"": true, ""message"": ""No obvious DNS failure detected."", ""evidence"": []}, {""check"": ""routing"", ""passed"": true, ""message"": ""No obvious routing failure detected."", ""evidence"": []}, {""check"": ""acl"", ""passed"": true, ""message"": ""No ACL evidence detected."", ""evidence"": []}, {""check"": ""nat"", ""passed"": true, ""message"": ""No obvious NAT failure detected."", ""evidence"": []}, {""check"": ""wireless"", ""passed"": true, ""message"": ""No obvious wireless failure detected."", ""evidence"": []}]","{
  ""root_cause"": ""PC1 access port is assigned to the wrong VLAN"",
  ""confidence"": 0.95,
  ""osi_layer"": ""Layer 2"",
  ""evidence"": [
    ""show vlan brief shows Fa0/2 in VLAN 10 and Fa0/1 in VLAN 20"",
    ""PC1 is connected to Fa0/1"",
    ""Rule‑checker vlan check failed: port Fa0/1 is assigned to VLAN 20, but VLAN 10 is required""
  ],
  ""next_command"": ""show interfaces Fa0/1 switchport"",
  ""fix_steps"": [
    ""Configure Fa0/1 as an access port in VLAN 10 (e.g., switchport access vlan 10)"",
    ""Verify the port VLAN assignment with the next_command"",
    ""Test connectivity from PC1 to another device in VLAN 10""
  ]
}"
2,PC in VLAN 20 cannot communicate with VLAN 30,VLAN,High,"[{""check"": ""duplicate_ip"", ""passed"": true, ""message"": ""No explicit duplicate IP conflict detected."", ""evidence"": []}, {""check"": ""interface_status"", ""passed"": true, ""message"": ""No explicit interface-down condition detected."", ""evidence"": []}, {""check"": ""vlan"", ""passed"": true, ""message"": ""No clear VLAN assignment mismatch could be extracted."", ""evidence"": []}, {""check"": ""trunk_vlan"", ""passed"": true, ""message"": ""No explicit trunk VLAN mismatch could be extracted."", ""evidence"": []}, {""check"": ""gateway"", ""passed"": true, ""message"": ""No structured IP/gateway information was found to check."", ""evidence"": []}, {""check"": ""dhcp"", ""passed"": true, ""message"": ""No obvious DHCP failure detected."", ""evidence"": []}, {""check"": ""dns"", ""passed"": true, ""message"": ""No obvious DNS failure detected."", ""evidence"": []}, {""check"": ""routing"", ""passed"": true, ""message"": ""No obvious routing failure detected."", ""evidence"": []}, {""check"": ""acl"", ""passed"": true, ""message"": ""No ACL evidence detected."", ""evidence"": []}, {""check"": ""nat"", ""passed"": true, ""message"": ""No obvious NAT failure detected."", ""evidence"": []}, {""check"": ""wireless"", ""passed"": true, ""message"": ""No obvious wireless failure detected."", ""evidence"": []}]","{
  ""root_cause"": ""VLAN 30 is not allowed on the trunk between the switch and the router, preventing inter‑VLAN routing."",
  ""confidence"": 0.95,
  ""osi_layer"": ""Layer 2"",
  ""evidence"": [
    ""\""show interfaces trunk\"" output lists allowed VLANs as 10,20 and explicitly shows VLAN 30 is missing.""
  ],
  ""next_command"": ""show vlan id 30"",
  ""fix_steps"": [
    ""Verify that VLAN 30 exists on the switch with `show vlan id 30`. If it does not exist, create it with `vlan 30`."",
    ""Add VLAN 30 to the trunk allowed list: `switchport trunk allowed vlan add 30` on the trunk interface."",
    ""Verify the trunk configuration again with `show interfaces trunk` to confirm VLAN 30 is now allowed."",
    ""Test inter‑VLAN connectivity from a PC in VLAN 20 to a device in VLAN 30.""
  ]
}"
3,New VLAN users have no connectivity,VLAN,High,"[{""check"": ""duplicate_ip"", ""passed"": true, ""message"": ""No explicit duplicate IP conflict detected."", ""evidence"": []}, {""check"": ""interface_status"", ""passed"": true, ""message"": ""No explicit interface-down condition detected."", ""evidence"": []}, {""check"": ""vlan"", ""passed"": true, ""message"": ""No clear VLAN assignment mismatch could be extracted."", ""evidence"": []}, {""check"": ""trunk_vlan"", ""passed"": true, ""message"": ""No explicit trunk VLAN mismatch could be extracted."", ""evidence"": []}, {""check"": ""gateway"", ""passed"": true, ""message"": ""No structured IP/gateway information was found to check."", ""evidence"": []}, {""check"": ""dhcp"", ""passed"": true, ""message"": ""No obvious DHCP failure detected."", ""evidence"": []}, {""check"": ""dns"", ""passed"": true, ""message"": ""No obvious DNS failure detected."", ""evidence"": []}, {""check"": ""routing"", ""passed"": true, ""message"": ""No obvious routing failure detected."", ""evidence"": []}, {""check"": ""acl"", ""passed"": true, ""message"": ""No ACL evidence detected."", ""evidence"": []}, {""check"": ""nat"", ""passed"": true, ""message"": ""No obvious NAT failure detected."", ""evidence"": []}, {""check"": ""wireless"", ""passed"": true, ""message"": ""No obvious wireless failure detected."", ""evidence"": []}]","{
  ""root_cause"": ""VLAN 40 is not defined on the access switch, so new users cannot be assigned to it"",
  ""confidence"": 0.95,
  ""osi_layer"": ""Layer 2"",
  ""evidence"": [
    ""\""show vlan brief\"" output lists VLAN 40 as \""not present\""""
  ],
  ""next_command"": ""show vlan id 40"",
  ""fix_steps"": [
    ""Enter configuration mode: configure terminal"",
    ""Create the VLAN: vlan 40"",
    ""Optionally assign a name: name VLAN40"",
    ""Exit configuration mode"",
    ""Verify the VLAN exists and is active: show vlan brief"",
    ""Assign the appropriate ports to VLAN 40 (e.g., switchport access vlan 40)"",
    ""Test connectivity from a new user device""
  ]
}"
4,Inter-switch communication fails for one VLAN,VLAN,High,"[{""check"": ""duplicate_ip"", ""passed"": true, ""message"": ""No explicit duplicate IP conflict detected."", ""evidence"": []}, {""check"": ""interface_status"", ""passed"": true, ""message"": ""No explicit interface-down condition detected."", ""evidence"": []}, {""check"": ""vlan"", ""passed"": true, ""message"": ""No clear VLAN assignment mismatch could be extracted."", ""evidence"": []}, {""check"": ""trunk_vlan"", ""passed"": false, ""message"": ""Required VLAN 30 is not allowed on the trunk."", ""evidence"": [""Required VLAN: 30"", ""Allowed VLANs: 10, 20""]}, {""check"": ""gateway"", ""passed"": true, ""message"": ""No structured IP/gateway information was found to check."", ""evidence"": []}, {""check"": ""dhcp"", ""passed"": true, ""message"": ""No obvious DHCP failure detected."", ""evidence"": []}, {""check"": ""dns"", ""passed"": true, ""message"": ""No obvious DNS failure detected."", ""evidence"": []}, {""check"": ""routing"", ""passed"": true, ""message"": ""No obvious routing failure detected."", ""evidence"": []}, {""check"": ""acl"", ""passed"": true, ""message"": ""No ACL evidence detected."", ""evidence"": []}, {""check"": ""nat"", ""passed"": true, ""message"": ""No obvious NAT failure detected."", ""evidence"": []}, {""check"": ""wireless"", ""passed"": true, ""message"": ""No obvious wireless failure detected."", ""evidence"": []}]","{
  ""root_cause"": ""VLAN 30 is not permitted on the trunk between SW1 and SW2, preventing inter‑switch communication for that VLAN."",
  ""confidence"": 0.95,
  ""osi_layer"": ""Layer 2"",
  ""evidence"": [
    ""show interfaces trunk output lists Allowed VLANs: 10,20"",
    ""show interfaces trunk output lists Native VLAN: 99"",
    ""Required VLAN: 30"",
    ""Deterministic rule‑checker trunk_vlan check failed with evidence \""Required VLAN: 30\"" and \""Allowed VLANs: 10, 20\""""
  ],
  ""next_command"": ""show interface Gi0/1 switchport"",
  ""fix_steps"": [
    ""Verify that VLAN 30 exists on both switches (use 'show vlan' or 'vlan 30' command)."",
    ""Add VLAN 30 to the trunk allowed list on both SW1 and SW2: 'switchport trunk allowed vlan add 30'."",
    ""Confirm the trunk configuration with 'show interface Gi0/1 switchport' and ensure VLAN 30 appears in the allowed list."",
    ""Test inter‑switch connectivity for VLAN 30 (e.g., ping a device on that VLAN).""
  ]
}"
5,PC receives connectivity only after moving to another port,VLAN,Medium,"[{""check"": ""duplicate_ip"", ""passed"": true, ""message"": ""No explicit duplicate IP conflict detected."", ""evidence"": []}, {""check"": ""interface_status"", ""passed"": true, ""message"": ""No explicit interface-down condition detected."", ""evidence"": []}, {""check"": ""vlan"", ""passed"": true, ""message"": ""No VLAN assignment mismatch detected."", ""evidence"": []}, {""check"": ""trunk_vlan"", ""passed"": true, ""message"": ""No explicit trunk VLAN mismatch could be extracted."", ""evidence"": []}, {""check"": ""gateway"", ""passed"": true, ""message"": ""No structured IP/gateway information was found to check."", ""evidence"": []}, {""check"": ""dhcp"", ""passed"": true, ""message"": ""No obvious DHCP failure detected."", ""evidence"": []}, {""check"": ""dns"", ""passed"": true, ""message"": ""No obvious DNS failure detected."", ""evidence"": []}, {""check"": ""routing"", ""passed"": true, ""message"": ""No obvious routing failure detected."", ""evidence"": []}, {""check"": ""acl"", ""passed"": true, ""message"": ""No ACL evidence detected."", ""evidence"": []}, {""check"": ""nat"", ""passed"": true, ""message"": ""No obvious NAT failure detected."", ""evidence"": []}, {""check"": ""wireless"", ""passed"": true, ""message"": ""No obvious wireless failure detected."", ""evidence"": []}]","{
  ""root_cause"": ""PC is connected to a switch port configured for the wrong VLAN"",
  ""confidence"": 0.95,
  ""osi_layer"": ""Layer 2"",
  ""evidence"": [
    ""show interfaces switchport shows Fa0/5 is access VLAN 10"",
    ""show interfaces switchport shows Fa0/6 is access VLAN 20"",
    ""PC is physically connected to Fa0/5"",
    ""PC should use VLAN 20""
  ],
  ""next_command"": ""show vlan brief"",
  ""fix_steps"": [
    ""Reconfigure Fa0/5 as an access port in VLAN 20 (e.g., `interface Fa0/5\n switchport access vlan 20`)"",
    ""Alternatively, move the PC to Fa0/6 which is already in VLAN 20"",
    ""Verify the port VLAN assignment with `show interfaces Fa0/5 switchport`"",
    ""Test connectivity from the PC again""
  ]
}"
6,PC can communicate locally but cannot reach remote network,Gateway,High,"[{""check"": ""duplicate_ip"", ""passed"": true, ""message"": ""No explicit duplicate IP conflict detected."", ""evidence"": []}, {""check"": ""interface_status"", ""passed"": true, ""message"": ""No explicit interface-down condition detected."", ""evidence"": []}, {""check"": ""vlan"", ""passed"": true, ""message"": ""No clear VLAN assignment mismatch could be extracted."", ""evidence"": []}, {""check"": ""trunk_vlan"", ""passed"": true, ""message"": ""No explicit trunk VLAN mismatch could be extracted."", ""evidence"": []}, {""check"": ""gateway"", ""passed"": true, ""message"": ""No structured IP/gateway information was found to check."", ""evidence"": []}, {""check"": ""dhcp"", ""passed"": true, ""message"": ""No obvious DHCP failure detected."", ""evidence"": []}, {""check"": ""dns"", ""passed"": true, ""message"": ""No obvious DNS failure detected."", ""evidence"": []}, {""check"": ""routing"", ""passed"": true, ""message"": ""No obvious routing failure detected."", ""evidence"": []}, {""check"": ""acl"", ""passed"": true, ""message"": ""No ACL evidence detected."", ""evidence"": []}, {""check"": ""nat"", ""passed"": true, ""message"": ""No obvious NAT failure detected."", ""evidence"": []}, {""check"": ""wireless"", ""passed"": true, ""message"": ""No obvious wireless failure detected."", ""evidence"": []}]","{""error"": ""AI failed to return a valid diagnosis for Case 6 after 3 attempts.""}"
7,Multiple PCs cannot access networks outside their subnet,Gateway,High,"[{""check"": ""duplicate_ip"", ""passed"": true, ""message"": ""No explicit duplicate IP conflict detected."", ""evidence"": []}, {""check"": ""interface_status"", ""passed"": true, ""message"": ""No explicit interface-down condition detected."", ""evidence"": []}, {""check"": ""vlan"", ""passed"": true, ""message"": ""No clear VLAN assignment mismatch could be extracted."", ""evidence"": []}, {""check"": ""trunk_vlan"", ""passed"": true, ""message"": ""No explicit trunk VLAN mismatch could be extracted."", ""evidence"": []}, {""check"": ""gateway"", ""passed"": false, ""message"": ""Gateway mismatch: gateway is outside the host's subnet."", ""evidence"": [""Host IP: 192.168.10.25/24"", ""Gateway: 192.168.11.1"", ""Host network: 192.168.10.0/24""]}, {""check"": ""dhcp"", ""passed"": true, ""message"": ""No obvious DHCP failure detected."", ""evidence"": []}, {""check"": ""dns"", ""passed"": true, ""message"": ""No obvious DNS failure detected."", ""evidence"": []}, {""check"": ""routing"", ""passed"": true, ""message"": ""No obvious routing failure detected."", ""evidence"": []}, {""check"": ""acl"", ""passed"": true, ""message"": ""No ACL evidence detected."", ""evidence"": []}, {""check"": ""nat"", ""passed"": true, ""message"": ""No obvious NAT failure detected."", ""evidence"": []}, {""check"": ""wireless"", ""passed"": true, ""message"": ""No obvious wireless failure detected."", ""evidence"": []}]","{
  ""root_cause"": ""PC default gateway is configured outside the PC's local subnet"",
  ""confidence"": 0.97,
  ""osi_layer"": ""Layer 3"",
  ""evidence"": [
    ""PC IP address: 192.168.10.25/24"",
    ""PC configured gateway: 192.168.11.1"",
    ""Rule‑checker gateway check failed with evidence: Host network 192.168.10.0/24"",
    ""Symptom: PCs cannot reach networks outside their subnet""
  ],
  ""next_command"": ""show ip interface brief"",
  ""fix_steps"": [
    ""On each affected PC, run `ipconfig /all` (Windows) or `ifconfig`/`ip addr` (Linux) to confirm the current default gateway and subnet mask."",
    ""Change the default gateway to the correct router address (e.g., 192.168.10.1) via the PC’s network settings or DHCP scope."",
    ""Verify that the PC can ping the new gateway and then test connectivity to an external network."",
    ""If the gateway is set via DHCP, check the DHCP server’s scope to ensure it offers the correct default gateway for the 192.168.10.0/24 subnet.""
  ]
}"
8,PC can ping another local host but not the router,Gateway,High,"[{""check"": ""duplicate_ip"", ""passed"": true, ""message"": ""No explicit duplicate IP conflict detected."", ""evidence"": []}, {""check"": ""interface_status"", ""passed"": true, ""message"": ""No explicit interface-down condition detected."", ""evidence"": []}, {""check"": ""vlan"", ""passed"": true, ""message"": ""No clear VLAN assignment mismatch could be extracted."", ""evidence"": []}, {""check"": ""trunk_vlan"", ""passed"": true, ""message"": ""No explicit trunk VLAN mismatch could be extracted."", ""evidence"": []}, {""check"": ""gateway"", ""passed"": true, ""message"": ""No structured IP/gateway information was found to check."", ""evidence"": []}, {""check"": ""dhcp"", ""passed"": true, ""message"": ""No obvious DHCP failure detected."", ""evidence"": []}, {""check"": ""dns"", ""passed"": true, ""message"": ""No obvious DNS failure detected."", ""evidence"": []}, {""check"": ""routing"", ""passed"": true, ""message"": ""No obvious routing failure detected."", ""evidence"": []}, {""check"": ""acl"", ""passed"": true, ""message"": ""No ACL evidence detected."", ""evidence"": []}, {""check"": ""nat"", ""passed"": true, ""message"": ""No obvious NAT failure detected."", ""evidence"": []}, {""check"": ""wireless"", ""passed"": true, ""message"": ""No obvious wireless failure detected."", ""evidence"": []}]","{
  ""root_cause"": ""PC is configured with a default gateway (10.0.2.1) that is not in the same subnet as the router interface (10.0.1.1/24), preventing communication to the router."",
  ""confidence"": 0.95,
  ""osi_layer"": ""Layer 3"",
  ""evidence"": [
    ""PC IP address is 10.0.1.20/24"",
    ""PC default gateway is set to 10.0.2.1"",
    ""Router G0/0 IP address is 10.0.1.1/24""
  ],
  ""next_command"": ""show ip interface brief"",
  ""fix_steps"": [
    ""On the PC, change the default gateway to 10.0.1.1 (the router’s IP)."",
    ""Verify that the PC’s subnet mask matches the router’s subnet (/24)."",
    ""Ping the router again to confirm connectivity."",
    ""If the ping succeeds, test other local hosts to ensure overall network operation.""
  ]
}"
9,One workstation cannot reach the internet while others can,Gateway,Medium,"[{""check"": ""duplicate_ip"", ""passed"": true, ""message"": ""No explicit duplicate IP conflict detected."", ""evidence"": []}, {""check"": ""interface_status"", ""passed"": true, ""message"": ""No explicit interface-down condition detected."", ""evidence"": []}, {""check"": ""vlan"", ""passed"": true, ""message"": ""No clear VLAN assignment mismatch could be extracted."", ""evidence"": []}, {""check"": ""trunk_vlan"", ""passed"": true, ""message"": ""No explicit trunk VLAN mismatch could be extracted."", ""evidence"": []}, {""check"": ""gateway"", ""passed"": true, ""message"": ""No structured IP/gateway information was found to check."", ""evidence"": []}, {""check"": ""dhcp"", ""passed"": true, ""message"": ""No obvious DHCP failure detected."", ""evidence"": []}, {""check"": ""dns"", ""passed"": true, ""message"": ""No obvious DNS failure detected."", ""evidence"": []}, {""check"": ""routing"", ""passed"": true, ""message"": ""No obvious routing failure detected."", ""evidence"": []}, {""check"": ""acl"", ""passed"": true, ""message"": ""No ACL evidence detected."", ""evidence"": []}, {""check"": ""nat"", ""passed"": true, ""message"": ""No obvious NAT failure detected."", ""evidence"": []}, {""check"": ""wireless"", ""passed"": true, ""message"": ""No obvious wireless failure detected."", ""evidence"": []}]","{""error"": ""AI failed to return a valid diagnosis for Case 9 after 3 attempts.""}"
10,PC does not receive an IP address automatically,DHCP,High,"[{""check"": ""duplicate_ip"", ""passed"": true, ""message"": ""No explicit duplicate IP conflict detected."", ""evidence"": []}, {""check"": ""interface_status"", ""passed"": true, ""message"": ""No explicit interface-down condition detected."", ""evidence"": []}, {""check"": ""vlan"", ""passed"": true, ""message"": ""No clear VLAN assignment mismatch could be extracted."", ""evidence"": []}, {""check"": ""trunk_vlan"", ""passed"": true, ""message"": ""No explicit trunk VLAN mismatch could be extracted."", ""evidence"": []}, {""check"": ""gateway"", ""passed"": true, ""message"": ""No structured IP/gateway information was found to check."", ""evidence"": []}, {""check"": ""dhcp"", ""passed"": false, ""message"": ""No DHCP binding was found for the affected client."", ""evidence"": []}, {""check"": ""dns"", ""passed"": true, ""message"": ""No obvious DNS failure detected."", ""evidence"": []}, {""check"": ""routing"", ""passed"": true, ""message"": ""No obvious routing failure detected."", ""evidence"": []}, {""check"": ""acl"", ""passed"": true, ""message"": ""No ACL evidence detected."", ""evidence"": []}, {""check"": ""nat"", ""passed"": true, ""message"": ""No obvious NAT failure detected."", ""evidence"": []}, {""check"": ""wireless"", ""passed"": true, ""message"": ""No obvious wireless failure detected."", ""evidence"": []}]","{
  ""root_cause"": ""The DHCP pool configured for the subnet has no available addresses to lease."",
  ""confidence"": 0.9,
  ""osi_layer"": ""Layer 3"",
  ""evidence"": [
    ""\""show ip dhcp binding\"" returned no bindings"",
    ""\""show ip dhcp pool\"" reported 0 available addresses"",
    ""Deterministic rule‑checker dhcp check failed (no binding found)""
  ],
  ""next_command"": ""show ip dhcp pool <pool-name> | include Address|Subnet"",
  ""fix_steps"": [
    ""Verify the DHCP pool configuration with the command above to confirm the address range and subnet mask."",
    ""If the pool is too small, extend the address range or create an additional pool for the subnet."",
    ""If the pool is correctly sized, check for any address reservations or exclusions that may be consuming all addresses."",
    ""Release any unused leases with \""clear ip dhcp binding\"" or by restarting the DHCP service."",
    ""After adjusting the pool, test the PC again to ensure it receives an IP address.""
  ]
}"
